image,cell_id,source,cy,cx,area_px,circularity,eccentricity,solidity
HET_1,51,cellpose_ext,170.1,945.8,339,0.750,0.849,0.931
HET_1,52,cellpose_ext,193.9,1228.3,820,0.596,0.913,0.882
HET_1,53,cellpose_ext,184.6,1265.2,254,0.701,0.923,0.930
HET_1,54,cellpose_ext,192.6,1063.6,299,0.644,0.804,0.835
HET_1,55,cellpose_ext,195.5,1630.3,363,0.583,0.890,0.810
HET_1,56,cellpose_ext,196.5,1550.7,311,0.595,0.946,0.920
HET_1,57,cellpose_ext,208.5,1676.6,785,0.632,0.924,0.937
HET_1,58,cellpose_ext,204.5,1403.3,645,0.555,0.930,0.866
HET_1,59,cellpose_ext,205.1,857.0,372,0.566,0.874,0.783
HET_1,60,cellpose_ext,205.0,831.8,366,0.925,0.473,0.958
HET_1,61,cellpose_ext,217.0,1178.4,524,0.501,0.963,0.828
HET_1,62,cellpose_ext,218.7,1801.4,499,0.500,0.960,0.875
HET_1,63,cellpose_ext,219.7,933.2,518,0.574,0.855,0.846
HET_1,64,cellpose_ext,215.4,1528.0,218,0.891,0.830,0.969
HET_1,65,cellpose_ext,226.7,1065.1,366,0.479,0.971,0.841
HET_1,66,cellpose_ext,216.9,1644.4,172,0.901,0.476,0.930
HET_1,67,cellpose_ext,225.8,829.9,214,0.710,0.914,0.918
HET_1,68,cellpose_ext,227.7,1691.9,295,0.702,0.862,0.910
HET_1,69,cellpose_ext,221.8,1034.2,285,0.672,0.864,0.856
HET_1,70,cellpose_ext,229.8,813.5,287,0.773,0.867,0.957
HET_1,71,cellpose_ext,231.7,856.1,315,0.731,0.694,0.870
HET_1,72,cellpose_ext,240.2,1613.5,392,0.640,0.918,0.897
HET_1,73,cellpose_ext,247.5,1306.4,639,0.360,0.936,0.640
HET_1,74,cellpose_ext,271.2,1448.2,358,0.327,0.988,0.825
HET_1,75,cellpose_ext,283.5,901.1,590,0.316,0.932,0.574
HET_1,76,cellpose_ext,266.1,1750.2,252,0.823,0.794,0.923
HET_1,77,cellpose_ext,267.0,1529.0,516,0.329,0.973,0.642
HET_1,78,cellpose_ext,282.9,1214.2,807,0.273,0.869,0.538
HET_1,79,cellpose_ext,266.7,1412.4,146,0.755,0.840,0.849
HET_1,80,cellpose_ext,273.4,1277.7,289,0.835,0.777,0.938
HET_1,81,cellpose_ext,277.1,977.0,491,0.537,0.908,0.786
HET_1,82,cellpose_ext,276.1,826.2,309,0.756,0.733,0.896
HET_1,83,cellpose_ext,296.6,775.5,690,0.633,0.741,0.870
HET_1,84,cellpose_ext,286.2,1743.0,233,0.859,0.669,0.947
HET_1,85,cellpose_ext,285.6,930.3,262,0.376,0.983,0.764
HET_1,86,cellpose_ext,288.4,1153.1,294,0.879,0.126,0.951
HET_1,87,cellpose_ext,290.4,1759.2,207,0.939,0.645,0.954
HET_1,88,cellpose_ext,304.4,1312.8,614,0.422,0.924,0.743
HET_1,89,cellpose_ext,293.7,1649.1,110,0.873,0.832,0.932
HET_1,90,cellpose_ext,306.6,1601.1,370,0.870,0.624,0.954
HET_1,91,cellpose_ext,314.8,1710.6,453,0.696,0.884,0.888
HET_1,92,cellpose_ext,323.6,807.9,742,0.802,0.386,0.938
HET_1,93,cellpose_ext,324.3,1284.5,240,0.730,0.611,0.879
HET_1,94,cellpose_ext,333.8,1098.3,384,0.404,0.973,0.734
HET_1,95,cellpose_ext,333.8,1660.3,500,0.625,0.873,0.856
HET_1,96,cellpose_ext,337.0,753.2,430,0.561,0.954,0.923
HET_1,97,cellpose_ext,355.4,854.0,883,0.322,0.828,0.623
HET_1,98,cellpose_ext,361.3,1536.9,674,0.317,0.987,0.781
HET_1,99,cellpose_ext,347.3,1455.8,456,0.370,0.969,0.749
HET_1,100,cellpose_ext,353.7,1295.6,239,0.696,0.887,0.882
HET_1,101,cellpose_ext,362.4,1325.7,562,0.536,0.911,0.819
HET_1,102,cellpose_ext,354.0,1756.5,599,0.587,0.830,0.835
HET_1,103,cellpose_ext,369.4,1181.6,534,0.405,0.975,0.793
HET_1,104,cellpose_ext,373.2,956.5,494,0.543,0.921,0.843
HET_1,105,cellpose_ext,362.8,1687.2,441,0.855,0.714,0.952
HET_1,106,cellpose_ext,372.6,1630.4,416,0.696,0.816,0.914
HET_1,107,cellpose_ext,384.6,1378.4,626,0.670,0.816,0.872
HET_1,108,cellpose_ext,370.2,1652.3,166,0.699,0.892,0.883
HET_1,109,cellpose_ext,394.0,1055.9,618,0.355,0.978,0.678
HET_1,110,cellpose_ext,396.0,828.2,454,0.520,0.962,0.908
HET_1,111,cellpose_ext,390.7,1701.8,437,0.790,0.848,0.946
HET_1,112,cellpose_ext,401.9,1565.1,514,0.395,0.763,0.666
HET_1,113,cellpose_ext,390.9,1672.8,275,0.727,0.851,0.926
HET_1,114,cellpose_ext,393.1,871.2,245,0.964,0.599,0.972
HET_1,115,cellpose_ext,393.0,1726.4,206,0.753,0.878,0.920
HET_1,116,cellpose_ext,404.6,770.7,364,0.806,0.773,0.926
HET_1,117,cellpose_ext,407.8,900.8,474,0.650,0.619,0.853
HET_1,118,cellpose_ext,419.9,868.1,483,0.439,0.977,0.813
HET_1,119,cellpose_ext,419.0,1718.8,289,0.548,0.918,0.838
HET_1,120,cellpose_ext,414.6,974.4,298,0.940,0.652,0.964
HET_1,121,cellpose_ext,419.5,1092.7,250,0.963,0.641,0.965
HET_1,122,cellpose_ext,426.1,1392.1,517,0.502,0.769,0.814
HET_1,123,cellpose_ext,421.2,817.1,251,0.807,0.576,0.919
HET_1,124,cellpose_ext,423.2,1792.4,192,1.020,0.647,0.985
HET_1,125,cellpose_ext,448.0,1314.3,922,0.245,0.980,0.611
HET_1,126,cellpose_ext,435.4,1464.1,464,0.537,0.929,0.853
HET_1,127,cellpose_ext,428.5,1773.0,366,0.880,0.724,0.956
HET_1,128,cellpose_ext,442.0,997.4,290,0.789,0.841,0.948
HET_1,129,cellpose_ext,439.1,1604.1,425,0.804,0.583,0.926
HET_1,130,cellpose_ext,451.6,1122.4,658,0.378,0.938,0.654
HET_1,131,cellpose_ext,449.5,787.8,666,0.556,0.676,0.780
HET_1,132,cellpose_ext,449.5,1758.7,424,0.625,0.913,0.908
HET_1,133,cellpose_ext,454.4,170.1,260,0.581,0.925,0.864
HET_1,134,cellpose_ext,457.9,184.9,404,0.599,0.874,0.873
HET_1,135,cellpose_ext,455.7,1057.3,594,0.447,0.923,0.732
HET_1,136,cellpose_ext,465.1,701.7,466,0.290,0.953,0.610
HET_1,137,cellpose_ext,466.4,994.9,628,0.492,0.784,0.780
HET_1,138,cellpose_ext,456.6,1604.4,194,0.853,0.775,0.928
HET_1,139,cellpose_ext,477.7,1776.1,441,0.553,0.910,0.806
HET_1,140,cellpose_ext,472.4,346.2,570,0.571,0.921,0.878
HET_1,141,cellpose_ext,476.5,861.8,624,0.531,0.903,0.795
HET_1,142,cellpose_ext,471.2,1715.5,273,0.887,0.401,0.961
HET_1,143,cellpose_ext,474.7,737.3,310,0.914,0.327,0.945
HET_1,144,cellpose_ext,478.3,1602.8,556,0.828,0.828,0.960
HET_1,145,cellpose_ext,488.5,1658.6,488,0.520,0.927,0.782
HET_1,146,cellpose_ext,480.2,1157.7,323,0.873,0.695,0.961
HET_1,147,cellpose_ext,487.0,932.2,416,0.684,0.834,0.891
HET_1,148,cellpose_ext,488.7,66.5,466,0.739,0.726,0.898
HET_1,149,cellpose_ext,489.9,103.9,537,0.500,0.816,0.751
HET_1,150,cellpose_ext,483.7,723.8,172,0.835,0.637,0.920
HET_1,151,cellpose_ext,485.7,1680.8,60,0.483,0.903,0.645
HET_1,152,cellpose_ext,497.6,1210.6,451,0.518,0.909,0.753
HET_1,153,cellpose_ext,494.1,1739.8,169,0.840,0.500,0.909
HET_1,154,cellpose_ext,497.5,227.6,236,0.823,0.852,0.952
HET_1,155,cellpose_ext,499.1,718.3,309,0.757,0.858,0.922
HET_1,156,cellpose_ext,495.2,384.7,562,0.430,0.921,0.696
HET_1,157,cellpose_ext,497.3,1628.9,378,0.616,0.811,0.815
HET_1,158,cellpose_ext,502.1,700.9,358,0.861,0.563,0.947
HET_1,159,cellpose_ext,504.6,121.2,296,0.724,0.865,0.897
HET_1,160,cellpose_ext,518.6,1377.4,630,0.644,0.888,0.886
HET_1,161,cellpose_ext,509.6,408.5,185,0.847,0.339,0.925
HET_1,162,cellpose_ext,513.3,858.3,238,0.790,0.694,0.922
HET_1,163,cellpose_ext,524.1,1565.0,1340,0.571,0.570,0.833
HET_1,164,cellpose_ext,515.0,101.8,513,0.553,0.935,0.862
HET_1,165,cellpose_ext,519.4,1079.3,326,0.738,0.793,0.908
HET_1,166,cellpose_ext,520.2,1781.6,391,0.762,0.778,0.914
HET_1,167,cellpose_ext,525.8,398.1,438,0.582,0.913,0.826
HET_1,168,cellpose_ext,530.3,1640.0,1027,0.777,0.380,0.919
HET_1,169,cellpose_ext,526.2,20.3,242,0.853,0.739,0.949
HET_1,170,cellpose_ext,535.7,1435.5,444,0.513,0.923,0.766
HET_1,171,cellpose_ext,533.6,1390.9,286,0.716,0.906,0.938
HET_1,172,cellpose_ext,525.9,1051.5,132,0.932,0.627,0.930
HET_1,173,cellpose_ext,534.3,585.8,643,0.572,0.897,0.822
HET_1,174,cellpose_ext,531.5,1420.3,173,0.666,0.936,0.901
HET_1,175,cellpose_ext,535.4,1276.5,281,0.687,0.692,0.862
HET_1,176,cellpose_ext,544.4,1008.8,618,0.332,0.966,0.581
HET_1,177,cellpose_ext,540.0,1709.1,425,0.589,0.783,0.777
HET_1,178,cellpose_ext,538.4,1054.6,181,0.879,0.754,0.938
HET_1,179,cellpose_ext,541.0,827.0,413,0.456,0.973,0.787
HET_1,180,cellpose_ext,540.6,551.7,337,0.680,0.834,0.918
HET_1,181,cellpose_ext,546.7,56.4,565,0.896,0.606,0.963
HET_1,182,cellpose_ext,548.3,868.2,316,0.704,0.887,0.878
HET_1,183,cellpose_ext,552.5,445.7,346,0.564,0.950,0.880
HET_1,184,cellpose_ext,547.7,96.1,384,0.801,0.818,0.950
HET_1,185,cellpose_ext,543.6,72.2,63,1.017,0.362,0.926
HET_1,186,cellpose_ext,554.6,470.6,451,0.585,0.944,0.893
HET_1,187,cellpose_ext,551.4,196.2,291,0.727,0.907,0.939
HET_1,188,cellpose_ext,548.3,1231.4,247,0.854,0.740,0.939
HET_1,189,cellpose_ext,548.8,1787.3,233,0.905,0.581,0.947
HET_1,190,cellpose_ext,557.9,145.4,309,0.770,0.840,0.922
HET_1,191,cellpose_ext,559.8,221.1,424,0.836,0.392,0.946
HET_1,192,cellpose_ext,558.9,1451.6,264,0.750,0.403,0.889
HET_1,193,cellpose_ext,559.1,82.4,344,0.756,0.791,0.915
HET_1,194,cellpose_ext,555.9,35.2,207,0.864,0.726,0.937
HET_1,195,cellpose_ext,568.0,283.6,623,0.536,0.816,0.746
HET_1,196,cellpose_ext,572.2,1704.3,512,0.827,0.186,0.933
HET_1,197,cellpose_ext,582.2,390.0,831,0.573,0.816,0.814
HET_1,198,cellpose_ext,568.7,752.0,378,0.395,0.970,0.713
HET_1,199,cellpose_ext,568.5,1660.6,361,0.727,0.717,0.868
HET_1,200,cellpose_ext,566.8,124.0,218,0.830,0.826,0.936
HET_1,201,cellpose_ext,577.9,1311.2,410,0.694,0.705,0.880
HET_1,202,cellpose_ext,577.5,31.6,317,0.854,0.809,0.949
HET_1,203,cellpose_ext,580.4,1821.7,417,0.741,0.852,0.927
HET_1,204,cellpose_ext,580.9,483.0,617,0.889,0.665,0.964
HET_1,205,cellpose_ext,579.8,147.7,361,0.727,0.823,0.883
HET_1,206,cellpose_ext,590.4,1526.0,478,0.474,0.918,0.826
HET_1,207,cellpose_ext,579.4,1681.4,131,0.845,0.865,0.942
HET_1,208,cellpose_ext,587.1,13.6,365,0.567,0.921,0.826
HET_1,209,cellpose_ext,598.9,467.7,577,0.680,0.828,0.874
HET_1,210,cellpose_ext,593.2,590.8,368,0.793,0.730,0.909
HET_1,211,cellpose_ext,604.9,1197.1,568,0.631,0.900,0.843
HET_1,212,cellpose_ext,599.1,439.5,524,0.787,0.616,0.916
HET_1,213,cellpose_ext,608.7,1563.5,543,0.390,0.716,0.610
HET_1,214,cellpose_ext,601.2,1805.4,368,0.599,0.914,0.893
HET_1,215,cellpose_ext,601.2,921.0,183,0.906,0.727,0.943
HET_1,216,cellpose_ext,605.0,1233.2,304,0.662,0.819,0.852
HET_1,217,cellpose_ext,602.5,663.7,319,0.825,0.718,0.941
HET_1,218,cellpose_ext,613.9,1098.3,608,0.280,0.933,0.566
HET_1,219,cellpose_ext,622.1,981.8,458,0.412,0.959,0.768
HET_1,220,cellpose_ext,619.2,224.5,597,0.558,0.565,0.806
HET_1,221,cellpose_ext,621.2,1679.9,675,0.561,0.808,0.837
HET_1,222,cellpose_ext,608.6,693.1,180,0.758,0.897,0.923
HET_1,223,cellpose_ext,620.5,521.9,647,0.523,0.894,0.839
HET_1,224,cellpose_ext,615.1,1650.1,382,0.575,0.944,0.864
HET_1,225,cellpose_ext,620.9,655.5,428,0.824,0.603,0.920
HET_1,226,cellpose_ext,621.8,613.4,308,0.546,0.812,0.784
HET_1,227,cellpose_ext,627.5,898.8,335,0.506,0.883,0.744
HET_1,228,cellpose_ext,619.7,671.4,139,0.854,0.799,0.921
HET_1,229,cellpose_ext,622.2,687.8,290,0.613,0.935,0.881
HET_1,230,cellpose_ext,629.0,1749.3,206,0.599,0.856,0.827
HET_1,231,cellpose_ext,626.4,1814.4,179,0.823,0.853,0.942
HET_1,232,cellpose_ext,627.6,729.1,243,0.562,0.927,0.799
HET_1,233,cellpose_ext,632.5,1140.1,295,0.844,0.712,0.937
HET_1,234,cellpose_ext,650.5,1153.7,731,0.367,0.977,0.780
HET_1,235,cellpose_ext,641.8,1862.3,407,0.715,0.857,0.908
HET_1,236,cellpose_ext,636.1,956.2,125,0.671,0.929,0.899
HET_1,237,cellpose_ext,654.5,1216.0,966,0.709,0.630,0.881
HET_1,238,cellpose_ext,645.5,1451.6,720,0.433,0.960,0.814
HET_1,239,cellpose_ext,647.0,486.8,296,0.435,0.959,0.733
HET_1,240,cellpose_ext,649.4,1371.1,373,0.765,0.696,0.905
HET_1,241,cellpose_ext,651.5,1728.9,311,0.752,0.533,0.876
HET_1,242,cellpose_ext,663.0,71.2,460,0.648,0.692,0.870
HET_1,243,cellpose_ext,663.0,568.9,563,0.461,0.930,0.814
HET_1,244,cellpose_ext,657.1,1763.4,139,0.836,0.847,0.933
HET_1,245,cellpose_ext,661.3,1340.7,470,0.557,0.849,0.851
HET_1,246,cellpose_ext,660.7,1745.4,222,0.955,0.520,0.965
HET_1,247,cellpose_ext,670.2,474.1,446,0.474,0.940,0.838
HET_1,248,cellpose_ext,674.5,1031.9,476,0.447,0.903,0.743
HET_1,249,cellpose_ext,668.0,1712.3,152,0.760,0.909,0.944
HET_1,250,cellpose_ext,683.4,1167.8,640,0.811,0.545,0.930
HET_1,251,cellpose_ext,685.5,675.1,472,0.336,0.982,0.733
HET_1,252,cellpose_ext,688.6,1490.9,518,0.384,0.951,0.693
HET_1,253,cellpose_ext,689.4,66.5,258,0.710,0.778,0.872
HET_1,254,cellpose_ext,693.5,771.6,548,0.653,0.826,0.864
HET_1,255,cellpose_ext,683.3,1774.4,302,0.524,0.968,0.875
HET_1,256,cellpose_ext,688.9,803.0,307,0.426,0.960,0.760
HET_1,257,cellpose_ext,695.2,1623.5,422,0.687,0.320,0.853
HET_1,258,cellpose_ext,694.6,1694.0,260,0.738,0.890,0.906
HET_1,259,cellpose_ext,714.6,1409.3,760,0.405,0.926,0.720
HET_1,260,cellpose_ext,704.3,135.6,525,0.659,0.866,0.904
HET_1,261,cellpose_ext,704.7,1595.8,172,0.936,0.659,0.961
HET_1,262,cellpose_ext,712.0,43.3,259,0.768,0.864,0.935
HET_1,263,cellpose_ext,710.2,665.8,700,0.561,0.910,0.891
HET_1,264,cellpose_ext,712.4,2671.7,442,0.654,0.794,0.819
HET_1,265,cellpose_ext,706.5,1118.5,193,0.744,0.858,0.923
HET_1,266,cellpose_ext,717.5,226.5,755,0.402,0.788,0.707
HET_1,267,cellpose_ext,717.3,1547.5,301,0.580,0.883,0.792
HET_1,268,cellpose_ext,715.0,1699.1,231,0.783,0.798,0.902
HET_1,269,cellpose_ext,716.4,1800.4,363,0.675,0.881,0.894
HET_1,270,cellpose_ext,716.2,1713.4,267,0.840,0.606,0.930
HET_1,271,cellpose_ext,726.3,51.0,306,0.405,0.931,0.630
HET_1,272,cellpose_ext,722.0,1581.5,438,0.622,0.846,0.841
HET_1,273,cellpose_ext,719.2,1484.0,165,0.940,0.749,0.954
HET_1,274,cellpose_ext,727.8,1835.6,413,0.597,0.914,0.850
HET_1,275,cellpose_ext,723.7,1138.0,321,0.886,0.674,0.955
HET_1,276,cellpose_ext,726.9,484.2,557,0.387,0.982,0.803
HET_1,277,cellpose_ext,726.5,1248.5,139,0.845,0.753,0.927
HET_1,278,cellpose_ext,735.3,2596.2,373,0.607,0.895,0.822
HET_1,279,cellpose_ext,735.6,321.0,377,0.584,0.824,0.893
HET_1,280,cellpose_ext,732.7,1161.0,433,0.881,0.653,0.947
HET_1,281,cellpose_ext,727.8,116.4,141,0.867,0.841,0.940
HET_1,282,cellpose_ext,731.5,2645.9,266,0.683,0.883,0.884
HET_1,283,cellpose_ext,741.5,144.1,488,0.575,0.718,0.807
HET_1,284,cellpose_ext,737.4,2739.9,349,0.587,0.812,0.815
HET_1,285,cellpose_ext,740.0,1275.1,611,0.360,0.953,0.686
HET_1,286,cellpose_ext,742.5,554.2,381,0.756,0.753,0.911
HET_1,287,cellpose_ext,738.7,1670.5,102,0.859,0.880,0.953
HET_1,288,cellpose_ext,748.4,2511.6,492,0.673,0.854,0.904
HET_1,289,cellpose_ext,747.4,2463.2,528,0.549,0.768,0.809
HET_1,290,cellpose_ext,745.8,1109.5,145,1.014,0.631,0.967
HET_1,291,cellpose_ext,756.4,1636.5,712,0.645,0.760,0.862
HET_1,292,cellpose_ext,775.3,856.7,932,0.225,0.986,0.587
HET_1,293,cellpose_ext,756.7,2096.2,581,0.846,0.537,0.949
HET_1,294,cellpose_ext,757.5,1529.9,405,0.572,0.891,0.830
HET_1,295,cellpose_ext,759.1,978.9,506,0.494,0.713,0.727
HET_1,296,cellpose_ext,757.7,553.5,221,0.718,0.862,0.895
HET_1,297,cellpose_ext,758.5,804.8,353,0.574,0.940,0.872
HET_1,298,cellpose_ext,755.8,7.4,83,0.974,0.709,0.954
HET_1,299,cellpose_ext,765.7,1262.7,455,0.707,0.896,0.890
HET_1,300,cellpose_ext,767.9,1809.1,535,0.470,0.948,0.860
HET_1,301,cellpose_ext,760.0,2432.8,190,0.854,0.803,0.936
HET_1,302,cellpose_ext,770.8,364.5,495,0.689,0.898,0.898
HET_1,303,cellpose_ext,759.8,344.9,203,0.722,0.887,0.902
HET_1,304,cellpose_ext,766.9,2137.1,642,0.656,0.761,0.861
HET_1,305,cellpose_ext,768.9,2453.7,258,0.733,0.843,0.890
HET_1,306,cellpose_ext,768.6,7.8,98,0.913,0.787,0.942
HET_1,307,cellpose_ext,776.0,602.3,489,0.583,0.902,0.802
HET_1,308,cellpose_ext,778.8,183.4,344,0.855,0.690,0.942
HET_1,309,cellpose_ext,779.1,1152.6,681,0.551,0.831,0.801
HET_1,310,cellpose_ext,781.1,2429.6,227,0.496,0.966,0.853
HET_1,311,cellpose_ext,784.4,711.7,342,0.619,0.868,0.847
HET_1,312,cellpose_ext,776.2,664.6,218,0.580,0.953,0.886
HET_1,313,cellpose_ext,783.1,2498.5,490,0.654,0.741,0.867
HET_1,314,cellpose_ext,781.6,1038.8,429,0.552,0.924,0.903
HET_1,315,cellpose_ext,785.8,1529.6,209,0.764,0.858,0.929
HET_1,316,cellpose_ext,788.4,1737.9,564,0.516,0.749,0.751
HET_1,317,cellpose_ext,790.6,1468.0,545,0.511,0.882,0.786
HET_1,318,cellpose_ext,801.3,1570.0,603,0.591,0.911,0.826
HET_1,319,cellpose_ext,806.6,1391.2,659,0.563,0.892,0.835
HET_1,320,cellpose_ext,788.0,337.7,427,0.491,0.959,0.810
HET_1,321,cellpose_ext,792.9,689.4,431,0.745,0.578,0.878
HET_1,322,cellpose_ext,795.6,1197.1,364,0.788,0.844,0.933
HET_1,323,cellpose_ext,810.0,1449.3,742,0.286,0.963,0.638
HET_1,324,cellpose_ext,793.5,284.8,315,0.858,0.628,0.938
HET_1,325,cellpose_ext,797.8,2181.2,324,0.769,0.827,0.923
HET_1,326,cellpose_ext,796.3,300.6,267,0.821,0.806,0.921
HET_1,327,cellpose_ext,796.4,1220.4,362,0.803,0.829,0.955
HET_1,328,cellpose_ext,798.2,2571.2,200,0.602,0.954,0.877
HET_1,329,cellpose_ext,800.8,130.3,258,0.808,0.859,0.949
HET_1,330,cellpose_ext,800.0,2104.9,161,0.954,0.714,0.953
HET_1,331,cellpose_ext,806.6,1101.2,406,0.773,0.767,0.912
HET_1,332,cellpose_ext,800.2,1114.5,179,0.844,0.771,0.927
HET_1,333,cellpose_ext,807.9,2497.7,158,0.654,0.925,0.883
HET_1,334,cellpose_ext,811.1,1980.8,242,0.730,0.823,0.893
HET_1,335,cellpose_ext,811.6,1685.9,105,0.833,0.858,0.913
HET_1,336,cellpose_ext,818.4,2605.4,383,0.801,0.691,0.936
HET_1,337,cellpose_ext,815.1,2392.9,428,0.593,0.935,0.899
HET_1,338,cellpose_ext,819.4,753.1,423,0.494,0.867,0.718
HET_1,339,cellpose_ext,825.2,1665.8,456,0.488,0.458,0.759
HET_1,340,cellpose_ext,819.6,1910.9,586,0.578,0.924,0.849
HET_1,341,cellpose_ext,823.5,1316.9,403,0.410,0.977,0.814
HET_1,342,cellpose_ext,831.5,1843.8,538,0.574,0.913,0.801
HET_1,343,cellpose_ext,816.4,114.1,46,0.520,0.960,0.630
HET_1,344,cellpose_ext,828.6,1350.3,388,0.562,0.816,0.815
HET_1,345,cellpose_ext,819.9,1700.9,333,0.594,0.914,0.820
HET_1,346,cellpose_ext,828.6,2552.2,533,0.590,0.833,0.835
HET_1,347,cellpose_ext,823.9,2733.0,433,0.552,0.921,0.811
HET_1,348,cellpose_ext,823.4,195.3,133,0.830,0.846,0.937
HET_1,349,cellpose_ext,825.2,2088.0,242,0.730,0.866,0.917
HET_1,350,cellpose_ext,827.4,2125.8,293,0.760,0.862,0.939
HET_1,351,cellpose_ext,831.8,242.1,345,0.419,0.939,0.713
HET_1,352,cellpose_ext,830.9,1981.3,336,0.675,0.501,0.882
HET_1,353,cellpose_ext,831.9,1158.0,250,0.980,0.437,0.969
HET_1,354,cellpose_ext,833.2,210.2,263,0.710,0.894,0.898
HET_1,355,cellpose_ext,839.5,733.9,257,0.530,0.938,0.779
HET_1,356,cellpose_ext,836.3,10.9,205,0.774,0.842,0.945
HET_1,357,cellpose_ext,834.2,326.3,93,0.988,0.744,0.959
HET_1,358,cellpose_ext,837.7,1187.3,528,0.550,0.921,0.835
HET_1,359,cellpose_ext,842.9,1712.8,321,0.642,0.812,0.845
HET_1,360,cellpose_ext,852.8,1273.1,685,0.256,0.985,0.691
HET_1,361,cellpose_ext,844.7,1960.8,301,0.573,0.871,0.811
HET_1,362,cellpose_ext,845.8,2243.8,225,0.800,0.813,0.938
HET_1,363,cellpose_ext,848.8,2663.8,591,0.438,0.949,0.754
HET_1,364,cellpose_ext,855.3,2155.4,779,0.834,0.596,0.953
HET_1,365,cellpose_ext,846.7,197.6,171,0.858,0.790,0.929
HET_1,366,cellpose_ext,849.0,2086.1,262,0.858,0.763,0.956
HET_1,367,cellpose_ext,852.7,2479.3,491,0.576,0.877,0.847
HET_1,368,cellpose_ext,858.5,1506.6,600,0.424,0.919,0.715
HET_1,369,cellpose_ext,851.6,2229.3,214,0.929,0.510,0.951
HET_1,370,cellpose_ext,847.6,2561.4,152,0.696,0.935,0.927
