image,cell_id,cy,cx,area_px,circularity,eccentricity,solidity,process_count
HET_1,67,225.8,829.9,214,0.710,0.914,0.918,1
HET_1,68,227.7,1691.9,295,0.702,0.862,0.910,3
HET_1,69,221.8,1034.2,285,0.672,0.864,0.856,0
HET_1,70,229.8,813.5,287,0.773,0.867,0.957,1
HET_1,71,231.7,856.1,315,0.731,0.694,0.870,1
HET_1,72,240.2,1613.5,392,0.640,0.918,0.897,0
HET_1,73,247.5,1306.4,639,0.360,0.936,0.640,1
HET_1,74,271.2,1448.2,358,0.327,0.988,0.825,1
HET_1,75,283.5,901.1,590,0.316,0.932,0.574,1
HET_1,76,266.1,1750.2,252,0.823,0.794,0.923,1
HET_1,77,267.0,1529.0,516,0.329,0.973,0.642,1
HET_1,78,282.9,1214.2,807,0.273,0.869,0.538,0
HET_1,79,266.7,1412.4,146,0.755,0.840,0.849,0
HET_1,80,273.4,1277.7,289,0.835,0.777,0.938,1
HET_1,81,277.1,977.0,491,0.537,0.908,0.786,2
HET_1,82,276.1,826.2,309,0.756,0.733,0.896,0
HET_1,83,296.6,775.5,690,0.633,0.741,0.870,0
HET_1,84,286.2,1743.0,233,0.859,0.669,0.947,1
HET_1,85,285.6,930.3,262,0.376,0.983,0.764,0
HET_1,86,288.4,1153.1,294,0.879,0.126,0.951,0
HET_1,87,290.4,1759.2,207,0.939,0.645,0.954,1
HET_1,88,304.4,1312.8,614,0.422,0.924,0.743,0
HET_1,89,293.7,1649.1,110,0.873,0.832,0.932,0
HET_1,90,306.6,1601.1,370,0.870,0.624,0.954,0
HET_1,91,314.8,1710.6,453,0.696,0.884,0.888,1
HET_1,92,323.6,807.9,742,0.802,0.386,0.938,0
HET_1,93,324.3,1284.5,240,0.730,0.611,0.879,0
HET_1,94,333.8,1098.3,384,0.404,0.973,0.734,0
HET_1,95,333.8,1660.3,500,0.625,0.873,0.856,1
HET_1,96,337.0,753.2,430,0.561,0.954,0.923,0
HET_1,97,355.4,854.0,883,0.322,0.828,0.623,0
HET_1,98,361.3,1536.9,674,0.317,0.987,0.781,2
HET_1,99,347.3,1455.8,456,0.370,0.969,0.749,1
HET_1,100,353.7,1295.6,239,0.696,0.887,0.882,0
HET_1,101,362.4,1325.7,562,0.536,0.911,0.819,0
HET_1,102,354.0,1756.5,599,0.587,0.830,0.835,0
HET_1,103,369.4,1181.6,534,0.405,0.975,0.793,0
HET_1,104,373.2,956.5,494,0.543,0.921,0.843,2
HET_1,105,362.8,1687.2,441,0.855,0.714,0.952,0
HET_1,106,372.6,1630.4,416,0.696,0.816,0.914,2
HET_1,107,384.6,1378.4,626,0.670,0.816,0.872,0
HET_1,108,370.2,1652.3,166,0.699,0.892,0.883,0
HET_1,109,394.0,1055.9,618,0.355,0.978,0.678,0
HET_1,110,396.0,828.2,454,0.520,0.962,0.908,1
HET_1,111,390.7,1701.8,437,0.790,0.848,0.946,0
HET_1,112,401.9,1565.1,514,0.395,0.763,0.666,1
HET_1,113,390.9,1672.8,275,0.727,0.851,0.926,2
HET_1,114,393.1,871.2,245,0.964,0.599,0.972,0
HET_1,115,393.0,1726.4,206,0.753,0.878,0.920,2
HET_1,116,404.6,770.7,364,0.806,0.773,0.926,1
HET_1,117,407.8,900.8,474,0.650,0.619,0.853,2
HET_1,118,419.9,868.1,483,0.439,0.977,0.813,0
HET_1,119,419.0,1718.8,289,0.548,0.918,0.838,2
HET_1,120,414.6,974.4,298,0.940,0.652,0.964,0
HET_1,121,419.5,1092.7,250,0.963,0.641,0.965,0
HET_1,122,426.1,1392.1,517,0.502,0.769,0.814,0
HET_1,123,421.2,817.1,251,0.807,0.576,0.919,0
HET_1,124,423.2,1792.4,192,1.020,0.647,0.985,0
HET_1,125,448.0,1314.3,922,0.245,0.980,0.611,0
HET_1,126,435.4,1464.1,464,0.537,0.929,0.853,0
HET_1,127,428.5,1773.0,366,0.880,0.724,0.956,1
HET_1,128,442.0,997.4,290,0.789,0.841,0.948,1
HET_1,129,439.1,1604.1,425,0.804,0.583,0.926,0
HET_1,130,451.6,1122.4,658,0.378,0.938,0.654,0
HET_1,131,449.5,787.8,666,0.556,0.676,0.780,1
HET_1,132,449.5,1758.7,424,0.625,0.913,0.908,1
HET_1,133,454.4,170.1,260,0.581,0.925,0.864,0
HET_1,134,457.9,184.9,404,0.599,0.874,0.873,2
HET_1,135,455.7,1057.3,594,0.447,0.923,0.732,0
HET_1,136,465.1,701.7,466,0.290,0.953,0.610,0
HET_1,137,466.4,994.9,628,0.492,0.784,0.780,0
HET_1,138,456.6,1604.4,194,0.853,0.775,0.928,1
HET_1,139,477.7,1776.1,441,0.553,0.910,0.806,0
HET_1,140,472.4,346.2,570,0.571,0.921,0.878,0
HET_1,141,476.5,861.8,624,0.531,0.903,0.795,0
HET_1,142,471.2,1715.5,273,0.887,0.401,0.961,1
HET_1,143,474.7,737.3,310,0.914,0.327,0.945,0
HET_1,144,478.3,1602.8,556,0.828,0.828,0.960,0
HET_1,145,488.5,1658.6,488,0.520,0.927,0.782,0
HET_1,146,480.2,1157.7,323,0.873,0.695,0.961,0
HET_1,147,487.0,932.2,416,0.684,0.834,0.891,1
HET_1,148,488.7,66.5,466,0.739,0.726,0.898,1
HET_1,149,489.9,103.9,537,0.500,0.816,0.751,2
HET_1,150,483.7,723.8,172,0.835,0.637,0.920,1
HET_1,151,485.7,1680.8,60,0.483,0.903,0.645,2
HET_1,152,497.6,1210.6,451,0.518,0.909,0.753,1
HET_1,153,494.1,1739.8,169,0.840,0.500,0.909,0
HET_1,154,497.5,227.6,236,0.823,0.852,0.952,1
HET_1,155,499.1,718.3,309,0.757,0.858,0.922,1
HET_1,156,495.2,384.7,562,0.430,0.921,0.696,0
HET_1,157,497.3,1628.9,378,0.616,0.811,0.815,0
HET_1,158,502.1,700.9,358,0.861,0.563,0.947,1
HET_1,159,504.6,121.2,296,0.724,0.865,0.897,0
HET_1,160,518.6,1377.4,630,0.644,0.888,0.886,0
HET_1,161,509.6,408.5,185,0.847,0.339,0.925,1
HET_1,162,513.3,858.3,238,0.790,0.694,0.922,1
HET_1,163,524.1,1565.0,1340,0.571,0.570,0.833,0
HET_1,164,515.0,101.8,513,0.553,0.935,0.862,0
HET_1,165,519.4,1079.3,326,0.738,0.793,0.908,1
HET_1,166,520.2,1781.6,391,0.762,0.778,0.914,0
HET_1,167,525.8,398.1,438,0.582,0.913,0.826,0
HET_1,168,530.3,1640.0,1027,0.777,0.380,0.919,0
HET_1,169,526.2,20.3,242,0.853,0.739,0.949,1
HET_1,170,535.7,1435.5,444,0.513,0.923,0.766,0
HET_1,171,533.6,1390.9,286,0.716,0.906,0.938,0
HET_1,172,525.9,1051.5,132,0.932,0.627,0.930,1
HET_1,173,534.3,585.8,643,0.572,0.897,0.822,5
HET_1,174,531.5,1420.3,173,0.666,0.936,0.901,0
HET_1,175,535.4,1276.5,281,0.687,0.692,0.862,0
HET_1,176,544.4,1008.8,618,0.332,0.966,0.581,0
HET_1,177,540.0,1709.1,425,0.589,0.783,0.777,0
HET_1,178,538.4,1054.6,181,0.879,0.754,0.938,0
HET_1,179,541.0,827.0,413,0.456,0.973,0.787,0
HET_1,180,540.6,551.7,337,0.680,0.834,0.918,0
HET_1,181,546.7,56.4,565,0.896,0.606,0.963,0
HET_1,182,548.3,868.2,316,0.704,0.887,0.878,1
HET_1,183,552.5,445.7,346,0.564,0.950,0.880,0
HET_1,184,547.7,96.1,384,0.801,0.818,0.950,0
HET_1,185,543.6,72.2,63,1.017,0.362,0.926,0
HET_1,186,554.6,470.6,451,0.585,0.944,0.893,2
HET_1,187,551.4,196.2,291,0.727,0.907,0.939,0
HET_1,188,548.3,1231.4,247,0.854,0.740,0.939,0
HET_1,189,548.8,1787.3,233,0.905,0.581,0.947,1
HET_1,190,557.9,145.4,309,0.770,0.840,0.922,1
HET_1,191,559.8,221.1,424,0.836,0.392,0.946,1
HET_1,192,558.9,1451.6,264,0.750,0.403,0.889,0
HET_1,193,559.1,82.4,344,0.756,0.791,0.915,0
HET_1,194,555.9,35.2,207,0.864,0.726,0.937,1
HET_1,195,568.0,283.6,623,0.536,0.816,0.746,0
HET_1,196,572.2,1704.3,512,0.827,0.186,0.933,3
HET_1,197,582.2,390.0,831,0.573,0.816,0.814,2
HET_1,198,568.7,752.0,378,0.395,0.970,0.713,1
HET_1,199,568.5,1660.6,361,0.727,0.717,0.868,0
HET_1,200,566.8,124.0,218,0.830,0.826,0.936,0
HET_1,201,577.9,1311.2,410,0.694,0.705,0.880,1
HET_1,202,577.5,31.6,317,0.854,0.809,0.949,0
HET_1,203,580.4,1821.7,417,0.741,0.852,0.927,0
HET_1,204,580.9,483.0,617,0.889,0.665,0.964,0
HET_1,205,579.8,147.7,361,0.727,0.823,0.883,0
HET_1,206,590.4,1526.0,478,0.474,0.918,0.826,3
HET_1,207,579.4,1681.4,131,0.845,0.865,0.942,0
HET_1,208,587.1,13.6,365,0.567,0.921,0.826,1
HET_1,209,598.9,467.7,577,0.680,0.828,0.874,1
HET_1,210,593.2,590.8,368,0.793,0.730,0.909,1
HET_1,211,604.9,1197.1,568,0.631,0.900,0.843,0
HET_1,212,599.1,439.5,524,0.787,0.616,0.916,0
HET_1,213,608.7,1563.5,543,0.390,0.716,0.610,0
HET_1,214,601.2,1805.4,368,0.599,0.914,0.893,1
HET_1,215,601.2,921.0,183,0.906,0.727,0.943,0
HET_1,216,605.0,1233.2,304,0.662,0.819,0.852,1
HET_1,217,602.5,663.7,319,0.825,0.718,0.941,0
HET_1,218,613.9,1098.3,608,0.280,0.933,0.566,0
HET_1,219,622.1,981.8,458,0.412,0.959,0.768,4
HET_1,220,619.2,224.5,597,0.558,0.565,0.806,2
HET_1,221,621.2,1679.9,675,0.561,0.808,0.837,1
HET_1,222,608.6,693.1,180,0.758,0.897,0.923,0
HET_1,223,620.5,521.9,647,0.523,0.894,0.839,1
HET_1,224,615.1,1650.1,382,0.575,0.944,0.864,0
HET_1,225,620.9,655.5,428,0.824,0.603,0.920,0
HET_1,226,621.8,613.4,308,0.546,0.812,0.784,0
HET_1,227,627.5,898.8,335,0.506,0.883,0.744,0
HET_1,228,619.7,671.4,139,0.854,0.799,0.921,2
HET_1,229,622.2,687.8,290,0.613,0.935,0.881,0
HET_1,230,629.0,1749.3,206,0.599,0.856,0.827,0
HET_1,231,626.4,1814.4,179,0.823,0.853,0.942,0
HET_1,232,627.6,729.1,243,0.562,0.927,0.799,1
HET_1,233,632.5,1140.1,295,0.844,0.712,0.937,0
HET_1,234,650.5,1153.7,731,0.367,0.977,0.780,1
HET_1,235,641.8,1862.3,407,0.715,0.857,0.908,1
HET_1,236,636.1,956.2,125,0.671,0.929,0.899,0
HET_1,237,654.5,1216.0,966,0.709,0.630,0.881,0
HET_1,238,645.5,1451.6,720,0.433,0.960,0.814,0
HET_1,239,647.0,486.8,296,0.435,0.959,0.733,0
HET_1,240,649.4,1371.1,373,0.765,0.696,0.905,0
HET_1,241,651.5,1728.9,311,0.752,0.533,0.876,0
HET_1,242,663.0,71.2,460,0.648,0.692,0.870,4
HET_1,243,663.0,568.9,563,0.461,0.930,0.814,1
HET_1,244,657.1,1763.4,139,0.836,0.847,0.933,0
HET_1,245,661.3,1340.7,470,0.557,0.849,0.851,0
HET_1,246,660.7,1745.4,222,0.955,0.520,0.965,1
HET_1,247,670.2,474.1,446,0.474,0.940,0.838,2
HET_1,248,674.5,1031.9,476,0.447,0.903,0.743,3
HET_1,249,668.0,1712.3,152,0.760,0.909,0.944,1
HET_1,250,683.4,1167.8,640,0.811,0.545,0.930,0
HET_1,251,685.5,675.1,472,0.336,0.982,0.733,1
HET_1,252,688.6,1490.9,518,0.384,0.951,0.693,1
HET_1,253,689.4,66.5,258,0.710,0.778,0.872,0
HET_1,254,693.5,771.6,548,0.653,0.826,0.864,0
HET_1,255,683.3,1774.4,302,0.524,0.968,0.875,0
HET_1,256,688.9,803.0,307,0.426,0.960,0.760,0
HET_1,257,695.2,1623.5,422,0.687,0.320,0.853,1
HET_1,258,694.6,1694.0,260,0.738,0.890,0.906,0
HET_1,259,714.6,1409.3,760,0.405,0.926,0.720,0
HET_1,260,704.3,135.6,525,0.659,0.866,0.904,1
HET_1,261,704.7,1595.8,172,0.936,0.659,0.961,2
HET_1,262,712.0,43.3,259,0.768,0.864,0.935,1
HET_1,263,710.2,665.8,700,0.561,0.910,0.891,0
HET_1,264,712.4,2671.7,442,0.654,0.794,0.819,0
HET_1,265,706.5,1118.5,193,0.744,0.858,0.923,2
HET_1,266,717.5,226.5,755,0.402,0.788,0.707,1
HET_1,267,717.3,1547.5,301,0.580,0.883,0.792,0
HET_1,268,715.0,1699.1,231,0.783,0.798,0.902,0
HET_1,269,716.4,1800.4,363,0.675,0.881,0.894,0
HET_1,270,716.2,1713.4,267,0.840,0.606,0.930,2
HET_1,271,726.3,51.0,306,0.405,0.931,0.630,2
HET_1,272,722.0,1581.5,438,0.622,0.846,0.841,0
HET_1,273,719.2,1484.0,165,0.940,0.749,0.954,0
HET_1,274,727.8,1835.6,413,0.597,0.914,0.850,2
HET_1,275,723.7,1138.0,321,0.886,0.674,0.955,0
HET_1,276,726.9,484.2,557,0.387,0.982,0.803,0
HET_1,277,726.5,1248.5,139,0.845,0.753,0.927,0
HET_1,278,735.3,2596.2,373,0.607,0.895,0.822,2
HET_1,279,735.6,321.0,377,0.584,0.824,0.893,2
HET_1,280,732.7,1161.0,433,0.881,0.653,0.947,0
HET_1,281,727.8,116.4,141,0.867,0.841,0.940,0
HET_1,282,731.5,2645.9,266,0.683,0.883,0.884,0
HET_1,283,741.5,144.1,488,0.575,0.718,0.807,1
HET_1,284,737.4,2739.9,349,0.587,0.812,0.815,2
HET_1,285,740.0,1275.1,611,0.360,0.953,0.686,0
HET_1,286,742.5,554.2,381,0.756,0.753,0.911,2
HET_1,287,738.7,1670.5,102,0.859,0.880,0.953,0
HET_1,288,748.4,2511.6,492,0.673,0.854,0.904,1
HET_1,289,747.4,2463.2,528,0.549,0.768,0.809,0
HET_1,290,745.8,1109.5,145,1.014,0.631,0.967,0
HET_1,291,756.4,1636.5,712,0.645,0.760,0.862,0
HET_1,292,775.3,856.7,932,0.225,0.986,0.587,1
HET_1,293,756.7,2096.2,581,0.846,0.537,0.949,1
HET_1,294,757.5,1529.9,405,0.572,0.891,0.830,2
HET_1,295,759.1,978.9,506,0.494,0.713,0.727,2
HET_1,296,757.7,553.5,221,0.718,0.862,0.895,0
HET_1,297,758.5,804.8,353,0.574,0.940,0.872,1
HET_1,298,755.8,7.4,83,0.974,0.709,0.954,0
HET_1,299,765.7,1262.7,455,0.707,0.896,0.890,0
HET_1,300,767.9,1809.1,535,0.470,0.948,0.860,1
HET_1,301,760.0,2432.8,190,0.854,0.803,0.936,1
HET_1,302,770.8,364.5,495,0.689,0.898,0.898,0
HET_1,303,759.8,344.9,203,0.722,0.887,0.902,0
HET_1,304,766.9,2137.1,642,0.656,0.761,0.861,0
HET_1,305,768.9,2453.7,258,0.733,0.843,0.890,1
HET_1,306,768.6,7.8,98,0.913,0.787,0.942,1
HET_1,307,776.0,602.3,489,0.583,0.902,0.802,2
HET_1,308,778.8,183.4,344,0.855,0.690,0.942,1
HET_1,309,779.1,1152.6,681,0.551,0.831,0.801,0
HET_1,310,781.1,2429.6,227,0.496,0.966,0.853,0
HET_1,311,784.4,711.7,342,0.619,0.868,0.847,1
HET_1,312,776.2,664.6,218,0.580,0.953,0.886,0
HET_1,313,783.1,2498.5,490,0.654,0.741,0.867,0
HET_1,314,781.6,1038.8,429,0.552,0.924,0.903,3
HET_1,315,785.8,1529.6,209,0.764,0.858,0.929,0
HET_1,316,788.4,1737.9,564,0.516,0.749,0.751,1
HET_1,317,790.6,1468.0,545,0.511,0.882,0.786,0
HET_1,318,801.3,1570.0,603,0.591,0.911,0.826,1
HET_1,319,806.6,1391.2,659,0.563,0.892,0.835,1
HET_1,320,788.0,337.7,427,0.491,0.959,0.810,0
HET_1,321,792.9,689.4,431,0.745,0.578,0.878,0
HET_1,322,795.6,1197.1,364,0.788,0.844,0.933,0
HET_1,323,810.0,1449.3,742,0.286,0.963,0.638,2
HET_1,324,793.5,284.8,315,0.858,0.628,0.938,1
HET_1,325,797.8,2181.2,324,0.769,0.827,0.923,1
HET_1,326,796.3,300.6,267,0.821,0.806,0.921,0
HET_1,327,796.4,1220.4,362,0.803,0.829,0.955,0
HET_1,328,798.2,2571.2,200,0.602,0.954,0.877,0
HET_1,329,800.8,130.3,258,0.808,0.859,0.949,0
HET_1,330,800.0,2104.9,161,0.954,0.714,0.953,0
HET_1,331,806.6,1101.2,406,0.773,0.767,0.912,2
HET_1,332,800.2,1114.5,179,0.844,0.771,0.927,0
HET_1,333,807.9,2497.7,158,0.654,0.925,0.883,0
HET_1,334,811.1,1980.8,242,0.730,0.823,0.893,0
HET_1,335,811.6,1685.9,105,0.833,0.858,0.913,0
HET_1,336,818.4,2605.4,383,0.801,0.691,0.936,0
HET_1,337,815.1,2392.9,428,0.593,0.935,0.899,2
HET_1,338,819.4,753.1,423,0.494,0.867,0.718,1
HET_1,339,825.2,1665.8,456,0.488,0.458,0.759,1
HET_1,340,819.6,1910.9,586,0.578,0.924,0.849,0
HET_1,341,823.5,1316.9,403,0.410,0.977,0.814,1
HET_1,342,831.5,1843.8,538,0.574,0.913,0.801,1
HET_1,343,816.4,114.1,46,0.520,0.960,0.630,1
HET_1,344,828.6,1350.3,388,0.562,0.816,0.815,0
HET_1,345,819.9,1700.9,333,0.594,0.914,0.820,2
HET_1,346,828.6,2552.2,533,0.590,0.833,0.835,0
HET_1,347,823.9,2733.0,433,0.552,0.921,0.811,0
HET_1,348,823.4,195.3,133,0.830,0.846,0.937,0
HET_1,349,825.2,2088.0,242,0.730,0.866,0.917,0
HET_1,350,827.4,2125.8,293,0.760,0.862,0.939,0
HET_1,351,831.8,242.1,345,0.419,0.939,0.713,0
HET_1,352,830.9,1981.3,336,0.675,0.501,0.882,1
HET_1,353,831.9,1158.0,250,0.980,0.437,0.969,1
HET_1,354,833.2,210.2,263,0.710,0.894,0.898,0
HET_1,355,839.5,733.9,257,0.530,0.938,0.779,0
HET_1,356,836.3,10.9,205,0.774,0.842,0.945,1
HET_1,357,834.2,326.3,93,0.988,0.744,0.959,0
HET_1,358,837.7,1187.3,528,0.550,0.921,0.835,1
HET_1,359,842.9,1712.8,321,0.642,0.812,0.845,1
HET_1,360,852.8,1273.1,685,0.256,0.985,0.691,0
HET_1,361,844.7,1960.8,301,0.573,0.871,0.811,1
HET_1,362,845.8,2243.8,225,0.800,0.813,0.938,0
HET_1,363,848.8,2663.8,591,0.438,0.949,0.754,2
HET_1,364,855.3,2155.4,779,0.834,0.596,0.953,0
HET_1,365,846.7,197.6,171,0.858,0.790,0.929,0
HET_1,366,849.0,2086.1,262,0.858,0.763,0.956,1
HET_1,367,852.7,2479.3,491,0.576,0.877,0.847,1
HET_1,368,858.5,1506.6,600,0.424,0.919,0.715,0
HET_1,369,851.6,2229.3,214,0.929,0.510,0.951,1
HET_1,370,847.6,2561.4,152,0.696,0.935,0.927,0
HET_1,371,859.7,332.0,380,0.587,0.860,0.785,3
HET_1,372,858.4,564.9,573,0.447,0.901,0.706,1
HET_1,373,857.4,1824.8,446,0.726,0.646,0.912,1
HET_1,374,857.6,2186.2,331,0.811,0.686,0.927,1
HET_1,375,857.2,1109.2,349,0.934,0.453,0.954,0
HET_1,376,861.1,1871.0,469,0.551,0.828,0.759,0
HET_1,377,862.0,2275.4,292,0.733,0.711,0.885,1
HET_1,378,875.1,2732.8,506,0.343,0.979,0.729,4
HET_1,379,869.4,299.5,641,0.631,0.460,0.822,2
HET_1,380,871.8,870.6,412,0.476,0.865,0.704,0
HET_1,381,872.4,1092.3,397,0.608,0.714,0.843,2
HET_1,382,869.4,1909.2,371,0.798,0.778,0.949,0
HET_1,383,869.5,2224.5,392,0.875,0.628,0.945,0
HET_1,384,865.7,282.6,155,0.943,0.532,0.945,0
HET_1,385,876.3,2542.7,391,0.535,0.920,0.803,0
HET_1,386,869.0,157.8,136,0.623,0.946,0.889,0
HET_1,387,868.6,1145.3,104,0.871,0.872,0.945,0
HET_1,388,871.0,1200.8,197,0.923,0.735,0.961,0
HET_1,389,887.3,1430.3,583,0.446,0.894,0.708,0
HET_1,390,874.9,2186.9,350,0.724,0.887,0.938,1
HET_1,391,886.2,1595.3,463,0.542,0.838,0.822,1
HET_1,392,883.1,1651.0,448,0.722,0.658,0.887,1
HET_1,393,878.5,1923.2,282,0.712,0.885,0.895,1
HET_1,394,878.8,1671.8,223,0.927,0.560,0.953,0
HET_1,395,879.3,1781.5,93,1.003,0.642,0.939,0
HET_1,396,894.5,645.6,439,0.323,0.943,0.569,1
HET_1,397,889.4,1894.6,381,0.745,0.849,0.929,0
HET_1,398,896.0,2490.4,543,0.469,0.930,0.741,0
HET_1,399,895.5,1193.3,390,0.810,0.547,0.926,0
HET_1,400,912.3,2573.2,1165,0.656,0.638,0.864,0
HET_1,401,895.5,153.5,612,0.807,0.797,0.955,0
HET_1,402,897.5,2258.3,189,0.646,0.940,0.917,1
HET_1,403,900.8,1064.8,574,0.776,0.678,0.921,0
HET_1,404,899.3,2640.5,422,0.686,0.897,0.842,2
HET_1,405,901.9,2119.1,376,0.825,0.303,0.940,1
HET_1,406,901.3,415.0,243,0.673,0.804,0.850,1
HET_1,407,903.6,519.1,511,0.418,0.965,0.815,0
HET_1,408,898.7,2226.1,129,1.036,0.592,0.970,0
HET_1,409,907.1,303.0,622,0.416,0.793,0.709,0
HET_1,410,902.0,2102.3,232,0.901,0.640,0.947,2
HET_1,411,909.6,207.4,364,0.430,0.662,0.683,0
HET_1,412,909.5,741.5,447,0.500,0.961,0.834,0
HET_1,413,909.3,2711.2,212,0.602,0.933,0.851,0
HET_1,414,912.5,2752.2,309,0.559,0.869,0.809,1
HET_1,415,904.1,382.0,264,0.533,0.955,0.871,0
HET_1,416,932.0,787.2,744,0.222,0.944,0.480,2
HET_1,417,909.5,2537.9,443,0.570,0.896,0.808,4
HET_1,418,909.1,1582.0,204,0.878,0.772,0.944,0
HET_1,419,929.9,2423.1,892,0.266,0.666,0.495,0
HET_1,420,910.9,2163.1,438,0.731,0.835,0.924,3
HET_1,421,917.4,1833.9,356,0.664,0.812,0.824,0
HET_1,422,912.8,2060.4,170,0.983,0.589,0.955,2
HET_1,423,922.3,1755.7,502,0.713,0.868,0.896,0
HET_1,424,922.0,428.6,603,0.600,0.869,0.883,0
HET_1,425,921.0,2121.6,368,0.753,0.432,0.898,0
HET_1,426,922.9,1181.7,279,0.724,0.912,0.943,1
HET_1,427,923.3,2793.4,227,0.721,0.850,0.915,2
HET_1,428,935.3,971.7,624,0.380,0.944,0.686,1
HET_1,429,935.5,2166.1,397,0.804,0.785,0.930,2
HET_1,430,928.2,222.0,343,0.637,0.924,0.891,2
HET_1,431,942.9,381.5,607,0.483,0.653,0.760,1
HET_1,432,930.2,2253.0,172,0.884,0.821,0.945,0
HET_1,433,939.0,1832.9,476,0.640,0.736,0.880,1
HET_1,434,933.3,1432.4,201,0.912,0.580,0.944,0
HET_1,435,943.9,883.1,686,0.391,0.743,0.656,1
HET_1,436,934.7,195.4,219,0.702,0.871,0.873,0
HET_1,437,937.0,1482.9,365,0.713,0.750,0.877,1
HET_1,438,936.4,1895.3,162,0.651,0.932,0.926,0
HET_1,439,940.9,638.3,512,0.559,0.931,0.839,2
HET_1,440,937.9,2093.7,183,0.940,0.649,0.953,0
